video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"QdBZY2fkU-0","Grand Theft Auto VI Trailer 1","2023-12-04T23:07:10Z","UC6VcWc1rAoWdBCM0JxrRQ3A","Rockstar Games","20","23.05.12","Rockstar Games|Grand Theft Auto VI|GTAVI|GTA 6|GTA Six|Grand Theft Auto|GTA|Vice City|Leonida","56668770","0","0","558421","https://i.ytimg.com/vi/QdBZY2fkU-0/default.jpg","False","True","Song: Love Is A Long RoadArtist: Tom PettyWritten by Thomas Earl Petty and Michael W. CampbellPublished by Universal Music Works on behalf of Wild Gator Music (GMR) and Wixen Music Publishing, Inc. as agent for Gone Gator Music (ASCAP) and NotoriousJBPSongs (ASCAP)Courtesy of Universal Music Enterprises, a Division of UMG Recordings, Inc."
"sFCGBNouB6Y","POD ENTRAR - Tour na fazenda de Gustavo Tubarão, Bar do Tião e Casa da Dona Creuza com Lucas Rangel","2023-12-04T15:00:48Z","UCuUUWPHIioyfmctnDpwsFzw","POD DELAS","22","23.05.12","poddelas|pod delas|pode delas|poddelascortes|cortes poddelas|pod delas podcast|podcast|flavia pavanelli|poddelas podcast|pod delas cortes|cortes pod delas|poddelas cortes|tataestaniecki|flaviapavanelli|cocielo|tata|cortes|corte podcast|canal oficial|podcast pavanelli|podcast flavia|podcast tata|tata estaniecki|nosso canal|boo unzueta|bruna unzueta","538063","0","0","1435","https://i.ytimg.com/vi/sFCGBNouB6Y/default.jpg","False","True","Mais uma segunda de PodEntrar com Lucas Rangel, e dessa vez tá muito especial: além da casa de Gustavo Tubarão, teremos um tour completo pela fazenda, pelo bar do Tião e Casa da Dona Creuza. Tá imperdível! Quem concorda, respira…--------------------------------------------------------------------------------------✅ Canal de Cortes Oficialhttps://www.youtube.com/channel/UCab-x2Tf0zK3WLkKXG9Ot5Q✅ Instagram Oficial @poddelas - https://www.instagram.com/poddelas/✅ Facebook Oficial https://m.facebook.com/POD-DELAS-101517452551396/✅ Shortshttps://www.youtube.com/channel/UCItcEi_6J6l2iuhABXq1OTg✅ PodDelas Melhores Momentoshttps://www.youtube.com/channel/UCYa1bLsG-RumuKrrznSdRHg✅ Playlist oficial com todos os episódioshttps://youtube.com/playlist?list=PLXEx5PB_zX1qkkx06VRZFepiRHheozMSRAPRESENTADOR:🙋🏻: Lucas Rangel / @lucasrangel"
"IoZBQY0AmbQ","Desmoronamento em MACEIÓ. MACEIÓ vai desabar? Desastre em MACEIÓ: O Colapso do Solo.","2023-12-04T13:55:09Z","UCAaD-P-PxAkKS5WX8EpWrKA","Engenharia Detalhada","27","23.05.12","maceió|braskem|desmoronamento maceio|desabamento maceió|maceió desabamento|pq maceió desabamento|pq desmoronamento maceió|como maceió desmoronamento|como desabamento maceió|maceió desabamento porque|por que desabamento maceió|Maceió|Braskem|Desmoronamento Maceió|Desabamento Maceió|Maceió Desabamento|Por que Maceió Desabamento|Como Maceió Desmoronamento|Como Desabamento Maceió|Crise da Sal-Gema em Maceió|Abalos Sísmicos em Maceió|Crise Urbana em Maceió","384687","0","0","1133","https://i.ytimg.com/vi/IoZBQY0AmbQ/default.jpg","False","True","Descubra a crise iminente que assola Maceió, Alagoas! O desmoronamento de terra resultante da extração de sal-gema está causando um cenário preocupante na região. No canal Engenharia Detalhada, mergulhe no intricado universo por trás dessa situação crítica, compreendendo como a busca por recursos valiosos como o dicloroetano para a produção de PVC desencadeou esse colapso.Desde os primeiros estudos geológicos em 1943 até os avanços das empresas, como a Braskem, explore a jornada da extração da sal-gema e como essa atividade, por meio de métodos como a lavra por dissolução, gerou vazios no subsolo. Esses vazios, por sua vez, estão levando a desmoronamentos de terra, abalos sísmicos e até mesmo ao surgimento de crateras em Maceió.Entenda os impactos devastadores desse desmoronamento não apenas na estabilidade do solo, mas também nas estruturas urbanas e na segurança dos habitantes locais. Analise as medidas de monitoramento, como piezômetros e sismógrafos, adotadas para tentar controlar essa situação crítica.Apesar dos esforços, a incerteza paira sobre o futuro da região. Como lidar com as consequências do desmoronamento de terra? Quais serão os desdobramentos de longo prazo? Queremos saber sua opinião e suas perspectivas sobre essa crise nos comentários!Acompanhe detalhes e compartilhe suas ideias sobre um dos mais complexos desafios enfrentados pela engenharia e o meio ambiente no Brasil. Inscreva-se, ative o sininho para receber atualizações e apoie nosso canal com seu like e, se possível, considere tornar-se membro. Vamos explorar juntos os desafios e impactos do desmoronamento de terra em Maceió. Encontramo-nos no próximo vídeo para mais conhecimento e debates sobre engenharia!"
"aDx8Ky4vjpo","A COLEÇÃO DE ARMADURAS RARAS (e como eu roubei elas)","2023-12-04T00:42:18Z","UCukwGwBD-pAbGzoJo6ZXPtQ","Tonigon","20","23.05.12","creative squad 2|creativesquad tonigon|tonigon minecraft|tonigon|tony gordom|toni minecraft|CREATIVE SQUAD 3","485351","0","0","1511","https://i.ytimg.com/vi/aDx8Ky4vjpo/default.jpg","False","True","💥💥💥BAIXE TOP TROOPS: https://toptroops.onelink.me/JHnC/tonigonAGORA COM 2 NOVOS PARTICIPANTES, a Creative Squad é o nome do nosso grupo de Youtubers e essa é a nossa NOVA SÉRIE jogando no Minecraft 1.20.1! Depois de um sorteio inicial, os participantes vão ter que jogar com um CAÇADOR 24h por dia! Se você morrer para o caçador você se torna o caçador, e assim continua... Cuidado com o BOBO que pode te trolar te dropando uma batata LITERALMENTE PODRE!‹‹ SITE DA CREATIVE SQUAD ›› https://creativesquad.com.br/Hall of the Mountain King de Kevin MacLeod é licenciada de acordo com a licença Atribuição 4.0 da Creative Commons. https://creativecommons.org/licenses/by/4.0/Fonte: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200072Artista: http://incompetech.com/‹‹ DISCORD DA CREATIVESQUAD ›› ♦️ https://discord.gg/STdWJ35Yt7 🌌EnxadaHost: https://enxadahost.com/r/creativesquad O cupom csquad dá 10% de desconto adicional em todos os planos. 💼 Contato Profissional: comercial@agenciacurta.com  #creativesquad #3MILHOEStonigon #minecraft"
"_8mPDbzHGP8","GTA 6 - TRAILER tem duração REVELADA e evento CRIADO","2023-12-04T16:06:03Z","UCJAbkIY17zAmCTNQHH0bQoQ","Gameplayrj","20","23.05.12","gameplayrj|davyjones|davy jones|video com davy jones|jogando com davy jones|gameplayrj jogando|gprj|video do gameplayrj|gta 6|gta 6 vazamento|gta 6 npc|gta 6 ia|gta 6 trailer|gta 6 news|gta vi|grand theft auto vi|leak gta 6|rockstar games|grand theft auto|rumor gta 6|GTA 6: VAZARAM animações|animações gta 6|data de LANÇAMENTO|data de lançamento gta 6|gta 6 data de lançamento|gta 6 vazamentos|gta 6 online|gta 6 novas informações|gta 6 novidades","272907","0","0","560","https://i.ytimg.com/vi/_8mPDbzHGP8/default.jpg","False","True","Flow Games - https://youtube.com/@FlowGamesPodcast?si=Yef5WGPDmK4Kh5d3GCM GAMESGIFT CARDS - CARTÃO DA PSN, XBOX, STEAM, APPLE, GOOGLE PLAY, NINTENDO, BTL.NET, RIXTY, DIAMANTES FREE FIRE E MUITO MAIS!https://www.gcmgames.com.br------------------------------------------------------▶️ GTA 6 - TRAILER tem duração REVELADA e evento CRIADO------------------------------------------------------➡️ Quando lança GTA 6 e muito mais na playlist: TUDO SOBRE GTA6 https://www.youtube.com/playlist?list=PLDRcEdRquEb3LB6qB0easbJ4NMzr9D2Tg🔹 As notícias e vazamentos sobre GTA 6 não param de sair! Quer saber tudo sobre o lançamento mais esperado do mundo dos games? GTA 6 está chegando e o GameplayRJ é o seu canal principal de informações sobre o maior lançamento do mundo dos games! 🔹Aqui no GameplayRJ você irá encontrar notícias, curiosidades, gameplays e muito mais!Assista o lançamento daquele jogo tão aguardado, ou o game que você gostaria muito que seu criador de conteúdo jogasse. Diariamente, as principais notícias do mundo dos games, séries, filmes, animes, analises e tudo o que você precisa saber, em um único canal!#gameplayrj #gta6 #gta"
"Myf2fQ0o3pc","POR QUÊ MACEIÓ ESTÁ AFUNDANDO? ANÁLISE DETALHADA","2023-12-03T22:14:05Z","UCR7f9MiMMaNP3EN2vrj4VMQ","Vida Engenharia","27","23.05.12","vida engenharia|canal vida engenharia|engenharia civil|Maceió|maceió braskem|maceió vai afundar|maceió colapso|maceió população|maceió mina|maceió notícias|maceió hoje|maceió agora ao vivo","584571","0","0","1343","https://i.ytimg.com/vi/Myf2fQ0o3pc/default.jpg","False","True","ANÁLISE DETALHADA DO PORQUÊ QUE MACEIÓ ESTÁ AFUNDANDO."
"nWiwbdSGElQ","O NOSSO SEGUNDO BABY É?? CHÁ REVELAÇÃO EMOCIONANTE 🥹🩷💙","2023-12-04T14:00:29Z","UCFNDsIEPwaAVMGNIQkU-jvA","Canal da Manuh","24","23.05.12","Nosso chá revelação|Menino ou menina|Emocionante|Descobrimos oque é o bebê|Meu chá de bebê|Revelação|Chá revelação do nosso baby","103837","0","0","643","https://i.ytimg.com/vi/nWiwbdSGElQ/default.jpg","False","True","🦋Se for novo(a) por aqui, não esqueça de deixar o seu like e se inscrever no canal, tem vídeos Segunda, Quarta e Sexta🦋📍Gmail para contato: manuelesilva121@gmail.com📍Instagram: https://www.instagram.com/manusoolz/Obrigada por assistir o vídeo fiquem com Deus e até os próximos"
"LOIMD084NlE","Godzilla e Kong: O Novo Império | Trailer Oficial","2023-12-03T20:51:09Z","UCEOVI4AmQE01FDKNFunkV2w","Warner Bros. Pictures Brasil","1","23.05.12","2024|Adam Wingard|Brian Tyree Henry|Dan Stevens|Godzilla|Godzilla x Kong|Godzilla x Kong: The New Empire|Jeremy Slater|King Kong|Kong|Legendary|Rebecca Hall|Simon Barrett|Skar King|Terry Rossio|Trailer|WB|Warner Bros|Warner Brothers|em breve|filme|godzila|godzilla vs kong|monster verse|monsterverse|monstros gigantes|pacific rim|universo de monstros","256483","0","0","2148","https://i.ytimg.com/vi/LOIMD084NlE/default.jpg","False","True","Testemunhe a ascensão de um novo império. #GodzillaEKong - 2024, somente nos cinemas.A batalha épica continua! A mais recente produção do Monsterverse, a franquia cinematográfica da Legendary Picures, sequência do confronto explosivo de “Godzilla vs. Kong”, é uma aventura cinematográfica que coloca o todo-poderoso Kong e o temível Godzilla lado a lado contra uma colossal ameaça desconhecida, escondida em nosso mundo, capaz de colocar em risco a própria existência deles - e a nossa. Godzilla e Kong: O Novo Império mergulha ainda mais fundo na história dos dois Titãs, em suas origens e nos mistérios da Ilha da Caveira, e desvenda a batalha mítica que ajudou a forjar esses seres extraordinários, ligando-os à humanidade e seu destino para sempre.Adam Wingard assume, novamente, a direção do filme, estrelado por Rebecca Hall (“Godzilla vs. Kong”, “A Casa Sombria”), Brian Tyree Henry (“Godzilla vs. Kong”, “Trem Bala”), Dan Stevens (série “Gaslit”, “Legião”, “A Bela e a Fera”), Kaylee Hottle (“Godzilla vs. Kong”), Alex Ferns (“Batman”, “Infiltrado”, minissérie “Chernobyl”), e Fala Chen (“Irma Vep”, “Shang Chi e a Lenda dos Dez Anéis”).O roteiro foi escrito por Terry Rossio (“Godzilla vs. Kong”, franquia “Piratas do Caribe”), Simon Barrett (“Você é o Próximo”) e Jeremy Slater (série “Cavaleiro da Lua), a partir do argumento de Rossio & Wingard & Barrett, baseado no personagem Godzilla, propriedade e criação da TOHO Co., Ltd.. O filme tem produção de Mary Parent, Alex Garcia, Eric Mcleod, Thomas Tull, Jon Jashni e Brian Rogers. Os produtores executivos são Wingard, Jen Conroy, Jay Ashenfelter, Yoshimitsu Banno, Kenji Okuhira. Mais uma vez, Adan Wingard trouxe para a equipe de produção criativa o diretor de fotografia Ben Seresin (“Godzilla vs. Kong”, “Guerra Mundial Z”); o designer de produção Tom Hammock (“Godzilla vs. Kong”, “X - A Marca da Morte”, “O Hóspede”); o editor Josh Schaeffer (“Godzilla vs. Kong”, “A Grande Jogada”); e a figurinista Emily Seresin (“O Homem Invisível”, série “Top of the Lake”).  Os compositores são Tom Holkenborg (“Godzilla vs. Kong”, “Mad Max: Estrada da Fúria”) e Antonio Di Iorio (música adicional em “Godzilla vs. Kong”, os filmes “Sonic”).A Warner Bros Pictures e a Legendary Pictures apresentam uma produção da Legendary Pictures, um filme de Adam Wingard, Godzilla e Kong: O Novo Império. O filme terá distribuição internacional nos cinemas e salas IMAX, a partir de 10 de abril de 2024, pela Warner Bros Pictures, exceto no Japão e na China Continental, onde será distribuído pela Toho Co., Ltd. Legendary East, respectivamente."
"905cA1nXN9A","PEBOLIM HUMANO GIGANTE DEU BRIGA!! ( ADR VS ZANELLA )","2023-12-04T15:00:08Z","UCbTVTephX30ZhQF5zwFppBg","rezendeevil","24","23.05.12","Rezende|video rezendeevil|video engraçado","171744","0","0","108","https://i.ytimg.com/vi/905cA1nXN9A/default.jpg","False","True","SE INSCREVA: https://www.youtube.com/user/rezendeevil?sub_confirmation=1ENTRE PARA O CLUBE ADR: https://www.youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg/joinNÃO CLIQUE AQUI: https://www.youtube.com/playlist?list=PL0xQPAWTD7FQGB5XRVA7UknxdR0Q78oxh#Rezende #RezendeEvil Contato comercial: rezende@adragencia.com.br"
"qs8le8aJapM","🤬 “ME SINTO ENVERGONHADO” CENI DÁ A REAL SOBRE DERROTA | COLETIVA DE CENI AMÉRICA-MG 3x2 BAHIA","2023-12-04T00:10:20Z","UC6p5S71N6kWWPEf9mvRAfHw","ecb tv","17","23.05.12","[none]","269164","0","0","1285","https://i.ytimg.com/vi/qs8le8aJapM/default.jpg","False","True","#ecbahia #bahia #bahea😉 SEJA MEMBRO DO CANAL: https://bit.ly/3Ae4KL2👍🏼 DEIXE O SEU LIKE🛎 ATIVE AS NOTIFICAÇÕES📬 COMPARTILHE COM GERAL➡️ -  Instagram de Neto: https://www.instagram.com/netosouzaecb/➡️ -  Twitter de Neto: https://twitter.com/netosouzaecb➡️ -  Instagram do canal: https://www.instagram.com/ecbtvoficial/➡️ -  Twitter do canal: https://twitter.com/ecbtvoficial➡️ -  Canal no WhatsApp: https://whatsapp.com/channel/0029Va70fSUFSAsvKDzbsZ1nEsporte Clube Bahia, EC Bahia, Bahia, Bahea, Notícias do Bahia, Informações do Bahia, Novidades do Bahia, Últimas informações do Bahia, Rogério Ceni, Rogério Ceni Bahia, Ceni Bahia, Ceni, Cauly, Cauly Bahia, Grupo City, Bahia City, Bahia Grupo City, Grupo City Bahia, Campeonato Brasileiro, Série A, Brasileirão 2023, Brasileirão, Coletiva Bahia, Coletiva Rogério Ceni, Coletiva de Rogério Ceni Bahia, Bahia x América mg, Bahia x America mg ao vivo, Bahia x america mg melhores momentos, America mg x Bahia, America mg x Bahia melhores momentos, America mg x Bahia ao vivo, America mg x Bahia lances."
