video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"ACKQDAlAfFE","Dunki Drop 4 | Shah Rukh Khan | Rajkumar Hirani | Taapsee | Vicky | Boman | 21st Dec 2023","2023-12-05T04:29:18Z","UCjJKg01HAP01xCLVhDmnLhw","Red Chillies Entertainment","24","23.05.12","SRK|Shah rukh khan|shahruh khan|Srk movies|red chillies entertainment|Dunki|Dunki Drop 1|Dunki Drop 2|Dunki Drop 3|Dunki Drop 4|Dunki Trailer|Dunki official trailer|Dunki christmas 2023|SRK new film Dunki|Dunki HD film|Vicky Kaushal|Boman Irani|Taapsee Pannu","15168752","0","0","28012","https://i.ytimg.com/vi/ACKQDAlAfFE/default.jpg","False","True","Join Hardy and his four ‘ullu da patthas’ as they embark on their remarkable journey of love, friendship and nostalgia.We present to you #DunkiDrop4Starring Shah Rukh Khan, Taapsee Pannu, Boman Irani and Vicky Kaushal (in a special appearance), Dunki is directed by Rajkumar Hirani, and presented by Jio Studios, Red Chillies Entertainment and Rajkumar Hirani Films.Releasing worldwide on 21st December 2023. See you at the movies!For more updates on Dunki, click on the links below:  http://www.twitter.com/RedChilliesEnthttp://www.facebook.com/RedChilliesEnthttp://www.instagram.com/RedChilliesEnthttp://www.twitter.com/RHFilmsOfficialhttp://www.facebook.com/RajkumarHiraniFilmshttp://www.instagram.com/rhfilmsofficial"
"FtJRfsJgtYI","AADIMANAV | Round2Hell | R2H","2023-12-03T08:43:46Z","UCt4atlExw8aj3Bm79nv1fig","Round2hell","24","23.05.12","round2hell|r2h|aadimanav|aadimanav r2h|r2h new video|ladakh|leh|nazim|zayn|wasim|raund2hell|round to hell","16101077","0","0","157235","https://i.ytimg.com/vi/FtJRfsJgtYI/default.jpg","False","True","Download Probo and Earn Real Cash -https://probo-in.onelink.me/1kre/Round2hellUse Coupan Code - R2H (Get Upto 100 rs for free)Prepare for a side-splitting, time-traveling adventure where the unexpected meets the uproarious. Follow a series of laugh-out-loud moments as a modern man finds himself in the most unlikely of places, amongst a tribe of cavemen. Watch as hilarity ensues with misunderstandings, mishaps, and unexpected inventions in a quest to survive the absurdity of this unusual era. Watch this an epic clash between ancient ways and modern antics, all wrapped in a tapestry of uproarious comedy.Written - Round2hellDirector - Nazim Ahmed, Zayn Saifi, Chetan JaitpuriyaProduced By - Round2hell Pvt. LtdD.O.P - Chetan Jaitpuriya Associate D.O.P - Azeem Ahmad, Ubaid Choudhary Editing & VFX - Ryan SaifiThumbnail - Chetan JaitpuriyaColourgrading - Chetan JaitpuriyaBackground Music - Nazim Ahmed, Ryan saifi  Line Producer - Aman BajwaProduction Manager - Rahil Saifi, Alam SaifiSpot - Zubair Saifi, GudduMakeup - Aryam ShikariLocation - Leh, LadakhCast -Nazim Ahmed - JoyZayn Saifi - KaiWasim Ahmad - ChiefOthers - Talib Saifi, Ryan Saifi, Mehtab Saifi, Monu Ali, Shahzi Hasan, Anas Malik,Ayan Saifi , Ashman saifi , Aryam shikari, Bilal SaifiFollow us on -Instagram : http://instagram.com/round2hellFacebook : http://www.facebook.com/round2hellOther Channel -Round2hell Vlog : https://youtube.com/@Round2hellVlog?si=5wuLWfxf_DRD8c_xCopyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.Business : work@round2hell.coThanks For Watching !"
"ZqN-2PLOeJ0","Pasandaagavne Lyrical | Kaatera | Darshan | Aradhana Ram | Tharun | V.Harikrishna | Chethan Kumar","2023-12-04T07:00:00Z","UCLtCejNl8eAg4PO_9lf2TIg","Anand Audio","10","23.05.12","Pasandaagavne song|Pasandaagavne song kaatera|Pasandaagavne mangli|kaatera movie song|kaatera darshan|kaatera first song|kaatera songs|kaatera video songs|Radhana Ram|chethan kumar songs|darshan kaatera song|kaatera darshan movie songs|katera darshan bgm|darshan katera film|darshan katera film songs|kaatera darshan movie|katera darshan new update|v harikrishna hits|v harikrishna songs|v harikrishna kaatera|mangli songs|mangli kaatera song","8868384","0","0","13817","https://i.ytimg.com/vi/ZqN-2PLOeJ0/default.jpg","False","True","Presenting the KAATERA First Single Pasandaagavne Sung by: Mangli Lyrics by: Chethankumar (Bharjari) Starring: Challenging ⭐ Darshan, Aradhana Ram, Jagapathi Babu & Others Exclusive Only On Anand Audio Official Youtube Channel..!!! -----------------------------------------------------#kaatera #kaateramovie #Pasandaagavne #mangli #darshan #tarunsudhir #aradhanaram #vharikrishna#chethankumar #rocklinevenkatesh #anandaudio -----------------------------------------------------Click Here Pasandaagavne Insta Reels Link:                                👇https://www.instagram.com/reels/audio/3546421125674752/ -----------------------------------------------------To Listen On Your Favourite Music Streaming Platform♪ Wynk Music: https://tinyurl.com/5n8urmw5♪ Spotify : https://tinyurl.com/mhbs8y36♪ Jiosaavn : https://tinyurl.com/4bu5yynv♪ Gaana : https://tinyurl.com/yc7pzc77♪ Hungama : https://tinyurl.com/56u68m8w♪ Amazon :  https://tinyurl.com/4h62j88b♪ YouTube Music: https://tinyurl.com/2vdacxxv♪ Resso :  https://m.resso.com/Zs82asbDQ/♪ Insta Reels : https://tinyurl.com/5hb9t7m3 -----------------------------------------------------Song: PASANDAAGAVNESinger: MANGLILyrics: CHETHAN KUMAR (Bharjari)----------------------------------------------------Movie Name : Kaatera Starring : Challenging ⭐ Darshan, Aradhana Ram, Jagapathi Babu and OthersBanner: Rockline Entertainments Pvt. Ltd.Producer: Rockline VenkateshDirector: Tharun Kishore SudhirMusic Director: V HarikrishnaDOP: Sudhakar S RajEditor: K M PrakashStory & Screenplay : Tharun Kishore Sudhir and Jadeshaa K HampiProduction Designer: GunaDialogue Writer : MaasthiLyrical Video Edited by Gowtham Raj (Single Frame Studio)Still Photographer : Kadur Ragu & Kadur YogiPoster Designer: Dolly Designs StudioMarketing : Niranjan RadhakrishnaManager: Narasimha JalahalliDirection Team :  Shiva Kumar SB,  Punith Arya, M M Shrikantha, Mahesh Raj, Ganesh S Vali, Prashanth Mysore, Chandrakumar, Prateek ShastriRecord Label: AANANDA AUDIO VIDEO-----------------------------------------------------Pasandaagvne Song Musician Credits ♫ Keyboards and Rythms Krishna Chaitanya, Paul Praveen Kumar Adi Hari  ♫ Indian Percussions Lakshmi Narayan, Raju ♫ Dilruba and Saarangi Saroja ♫ Nadaswaram: Bala ♫ Chennai Violens Orchestra ♫ Conducted by Chandrashekar♫ Mandolin, Ukele, Saaz, banjo, Rhythm Guitar, acousitic Guitar: Subani♫ Symphony Studios: Shaktivel♫ Mixed & Mastered by: Sajay Kumar MP (Renu Studios, Bangalore)♫ Orcheshtra Co Ordinator: Manikandan K-----------------------------------------------------To Set This Song Pasandaagavne Your Caller TuneAirTel Users Dial Vodafone & Idea Users Dial  BSNL Users SMS BT  to 56700----------------------------------------------►Also Watch D Boss Super Hit Movies: https://bit.ly/2kPnXP1 ►Also Watch D Boss Super Hit Songs: https://bit.ly/2MdLi6E►Also Watch Kannada Love Songs: https://tinyurl.com/bd33csxw►Also Watch Compilation Jukebox: https://tinyurl.com/5ez6s93z ►Also Kannada Latest Lyrical Videos: https://tinyurl.com/4z885692►Also Listen Sing Along To Karaoke Songs: https://tinyurl.com/2x3b3e2t►Also Watch Kannada New Movies: https://tinyurl.com/4p5akcjz----------------------------------------------👉 *Twitter: https://twitter.com/aanandaaudio *👉 *Facebook: https://www.facebook.com/aanandaaudio * 👉 *Instagram: https://www.instagram.com/aanandaaudio/?hl=en *----------------------------------------------VISIT OUR OTHER OFFICIAL CHANNELS:-►Anand Audio: http://goo.gl/JtObUW►Anand Audio Kannada: https://goo.gl/dLSjmK►Anand Audio Comedy: https://goo.gl/UFXUhq►Anand Audio Audio Songs: https://bit.ly/401TQ5d►Anand Audio Video Songs: https://bit.ly/40pbQXb►Anand Audio Lyrical Songs: https://bit.ly/40j0sMf►Anand Audio Full Movie Story: https://bit.ly/3n9wxYU►Anand Audio Karaoke: https://bit.ly/3hFMALq►Anand Audio DJ Remix: https://bit.ly/3TvtlCS►Anand Audio Entertainment: https://goo.gl/G2yx6X--►Anand Audio Shorts: https://bit.ly/40iIFF9►Anand Audio Telugu: https://bit.ly/2SVGx3b►Anand Audio Tamil: https://bit.ly/2NYSRyN►Anand Audio Malayalam: https://bit.ly/3yNQFSS►Anand Audio Hindi: https://bit.ly/3FxF91O►Anand Audio Devotional: https://goo.gl/73RHJR►Anand Audio Naadu Nudi: https://goo.gl/UCLZLj►Anand Audio North Karnataka: http://bit.do/eUktp►Anand Audio Tulu: https://goo.gl/v4cgYq----------------------------------------------"
"HihakYi5M2I","Salaar Hindi Trailer | Prabhas | Prashanth Neel | Prithviraj|Shruthi|Hombale Films| Vijay Kiragandur","2023-12-01T14:32:32Z","UCarJoVXH0T2pdtcHBu9J8Bw","Hombale Films","24","23.05.12","salaar trailer|salaar trailer Hindi|salaar ceasefire trailer|Prabhas|Prabhas salaar trailer|Shruthi Haasan|Prithviraj|Prashanth Neel|hombale films salaar|salaar prashanth neel|prabhas|salaar shruti haasan|salaar|ravi basrur prabhas|salaar rebel star prabhas|salaar movie trailer|hombale films movie|prabhas new movie trailer|rebel star prabhas trailer|prabhas salaar trailer|Salaar movie trailer|prashanth neel movie trailer|salaar ceasefire|Hombale films","63195943","0","0","60903","https://i.ytimg.com/vi/HihakYi5M2I/default.jpg","False","True","Please…I…Kindly…Request!🔥Presenting the Trailer of #SalaarCeaseFireFrom the Makers of  KGF: Chapter 1 & 2, &  the visionary director Prashanth Neel, comes a film that will push the boundaries of cinematic brilliance, presenting you the official teaser of Salaar, featuring the powerhouse talents of Prabhas, Prithviraj, Shruthi Haasan, Tinu Anand, Eshwari Rao, Jagapathi Babu, Sriya Reddy, Garuda Ram.  Brace yourself for an extraordinary tale of rebellion filled with power-packed action and impactful music by Ravi Basrur. Rebel Star Prabhas shines as Salaar, Directed by Prasanth Neel, and produced by Hombale Films, this teaser offers a thrilling glimpse into the intense narrative and mind-blowing visuals that await you. Get Ready to Rebel with us and witness the most violent man on screens this Dec 22, 2023.SALAAR MOVIE CREDITS:Studio : Hombale FilmsProducer : Vijay KiragandurStory - Screenplay - Direction : Prashanth Neel Salaar Star Cast - Prabhas, Prithviraj, Shruthi HassanDOP : Bhuvan GowdaProduction Designer : T L Venkatachalapathi Music : Ravi BasrurStunts : Anbarivu Costume Designer : Thota Vijay Bhaskar Executive Producers : KV Rama Rao Editor : Ujwal Kulkarni Dialogues : Sandeep Reddy Bandla - Hanuman Chaudhary - DR Suri VFX Supervisor : Raghav Tamma Reddy Lyricist : Krishna Kanth  Direction Team:Aarun Thevar- Kirtan NadagoudaDhodl Prakash (EMM) - Bhargav N (ERY) - Nanda KishoreAbburu - Vedha Kalavakuri - Challagulla Nani - Harish Madala - Sreeram Vadlamani - Murali Muddenahally Gowra Chandrababl Naidu - Akash Thargaar - Likhith Raghuveer S - Ram Reddy Merella - Supreme Kranthi Surya - Farman Ulla Digital Media Partner: Silly MonksDigital Media PR & Marketing: Prasad BhimanadhamMarketing: Likitha ReddyStills: Kishore KotumFor More Updates:YouTube: https://www.youtube.com/channel/UCarJoVXH0T2pdtcHBu9J8BwFacebook: https://www.facebook.com/HombaleFilms/Twitter: https://www.Twitter.com/hombalefilmsInstagram: https://www.instagram.com/hombalefilmsIn Association with Divo:FB : https://www.facebook.com/DivoKannadaTwitter : https://www.twitter.com/divomovies/Insta : https://www.instagram.com/divomusicofficial/#Salaar #Prabhas #HombaleFilms#SalaarTrailer #SalaarCeaseFire #DarlingPrabhas #PrashanthNeel #Prithviraj #Hombale #VijayKiragandur #Shrutihaasan #RaviBasrur #SalaarTheSaga #Rebellioniscoming #Salaaron22Dec #SalaarOfficialTrailer #Prabas #RebelStarPrabas #RebelStarPrabhas #HombaleFilms"
"GvIVEca6SVs","ഞാനും ഫിറോസ് ഇക്കയും DIVORCE ആകുന്നു കാരണം.. SAJNA FIROZ EXCLUSIVE INTERVIEW | SAJNA NOOR","2023-12-04T12:49:15Z","UCFZqtti2VoNdgeLklh48Liw","Variety Media","24","23.05.12","exclusive interview|sajna firoz|sajna firoz interview|sajna firoz divorse|sajna firoz big boss|sajna firoz latest|sajna firoz exclusive|sajna firoz troll video|sajna firoz video|sajna firoz ajin interview|variety media exclusive|sajna firoz issue|sajna firoz latest video|big boss latest updates|firoz big boss exclusive|variety media anchor","443240","0","0","889","https://i.ytimg.com/vi/GvIVEca6SVs/default.jpg","False","True","SAJNA FIROZ INTERVIEW | SAJNA NOORSAJNA NOOR EXCLUSIVE INTERVIEWBigboss Sajna DivorceSajna Firoz Divirce?Sajna and firoz newsSajna about Firoz#SajnaFiroz #Interview|| ANTI-PIRACY WARNING ||This content is Copyrighted to Variety Media  . Any unauthorized reproduction, redistribution or re-upload is strictly prohibited (Youtube, Instagram, Facebook). Legal action will be taken against those who violate the copyright of the same"
"lV1OOlGwExM","Godzilla x Kong : The New Empire | Official Trailer","2023-12-03T20:50:56Z","UCjmJDM5pRKbUlVIzDYYWb6g","Warner Bros. Pictures","1","23.05.12","2024|Adam Wingard|Brian Tyree Henry|Coming Soon|Dan Stevens|Godzilla|Godzilla x Kong|Godzilla x Kong: The New Empire Kong|Jeremy Slater|King Kong|Legendary|Movie|Rebecca Hall|Simon Barrett|Skar King|Terry Rossio|Trailer|WB|Warner Bros|Warner Brothers","11406932","0","0","39317","https://i.ytimg.com/vi/lV1OOlGwExM/default.jpg","False","True","Witness the rise of a new empire. #GodzillaXKong - Only in theaters 2024The epic battle continues!  Legendary Pictures’ cinematic Monsterverse follows up the explosive showdown of “Godzilla vs. Kong” with an all-new adventure that pits the almighty Kong and the fearsome Godzilla against a colossal undiscovered threat hidden within our world, challenging their very existence—and our own. “Godzilla x Kong: The New Empire” delves further into the histories of these Titans and their origins, as well as the mysteries of Skull Island and beyond, while uncovering the mythic battle that helped forge these extraordinary beings and tied them to humankind forever.Once again at the helm is director Adam Wingard.  The film stars Rebecca Hall (“Godzilla vs. Kong,” The Night House”), Brian Tyree Henry (“Godzilla vs. Kong,” “Bullet Train”), Dan Stevens (“Gaslit,” “Legion,” “Beauty and the Beast”), Kaylee Hottle (“Godzilla vs. Kong”), Alex Ferns (“The Batman,” “Wrath of Man,” “Chernobyl”) and Fala Chen (“Irma Vep,” “Shang Chi and the Legend of the Ten Rings”).The screenplay is by Terry Rossio (“Godzilla vs. Kong” the “Pirates of the Caribbean” series) and Simon Barrett (“You’re Next”) and Jeremy Slater (“Moon Knight”), from a story by Rossio & Wingard & Barrett, based on the character “Godzilla” owned and created by TOHO Co., Ltd..  The film is produced by Mary Parent, Alex Garcia, Eric Mcleod, Thomas Tull, Jon Jashni and Brian Rogers.  The executive producers are Wingard, Jen Conroy, Jay Ashenfelter, Yoshimitsu Banno, Kenji Okuhira. Once again, Wingard is collaborating with director of photography Ben Seresin (“Godzilla vs. Kong,” “World War Z”), production designer Tom Hammock (“Godzilla vs. Kong,” “X,” “The Guest”), editor Josh Schaeffer (“Godzilla vs. Kong,” “Molly’s Game”), costume designer Emily Seresin (“The Invisible Man,” “Top of the Lake”).  The composers are Tom Holkenborg (“Godzilla vs. Kong,” “Mad Max: Fury Road”) and Antonio Di Iorio (additional music on “Godzilla vs. Kong,” the “Sonic the Hedgehog” films).Warner Bros. Pictures and Legendary Pictures Present a Legendary Pictures Production, A Film By Adam Wingard, “Godzilla x Kong: The New Empire.”  It is slated for release nationwide only in theaters and IMAX on April 12, 2024 and beginning 10 April 2024 internationally, distributed by Warner Bros. Pictures except in Japan, where the film will be distributed by Toho Co., Ltd and in mainland China, where it will be distributed by Legendary East."
"PSghT6SYi7Q","Ishq Murshid - Episode 09 [𝐂𝐂] - 3rd Dec 23 - Sponsored By Khurshid Fans, Master Paints & Mothercare","2023-12-03T16:00:15Z","UCEeEQxm6qc_qaTE7qTV5aLQ","HUM TV","24","23.05.12","pakistani serial|drama in hindi|latest pakistani drama|top pakistani drama|best pakistani drama|pakistani serial 2023|pakistani drama 2023 last episode|pakistani drama 2023 latest episode|pakistani drama new|pakistani dramas|Durefishan Saleem Drama|Bilal Abbas New Drama|Bilal Abbas|Ishq Murshid New Drama|Ishq Murshid New Drama ep 9|Ishq Murshid ep 09|Durefishan Ishq Murshid 09|ishq murshid ep 09|09 ep ishq murshid|durefisan new drama|ishq murshid 2023","11860312","0","0","8218","https://i.ytimg.com/vi/PSghT6SYi7Q/default.jpg","False","True","👉 Subscribe To HUM TV - https://bit.ly/HumtvpkIshq Murshid - Episode 09 [𝐂𝐂] 3rd Dec - Presented By Khurshid Fans, Powered By Master Paints & Associated By Mothercare - HUM TVA journey filled with love, passion, and twists awaits! ✨ Don't miss to Watch #IshqMurshid, Every Sunday At 08Pm Only on HUM TV! 💑Digitally Presented By Khurshid Fans Digitally Powered By Master PaintsDigitally Associated By MothercareCast : Bilal Abbas KhanDurefishan SaleemFarooq RindAbdul Khaliq KhanWritten By Abdul Khaliq KhanDirected By Farooq RindProduced By Moomal Entertainment & MD Productions ✨#ishqmurshidep09#HUMTV #BilalAbbasKhan #DurefishanSaleem #FarooqRind #AbdulKhaliqKhan #MoomalEntertainment #mdproductions #masterpaints"
"1BQtO9my67M","NEW! Ep 3944 - Jethalal Ne Kiya Sunder Pe Attack?! | Taarak Mehta Ka Ooltah Chashmah | तारक मेहता","2023-12-03T05:30:39Z","UCnSFZ-olBoLGLRUS_3RI2Aw","Taarak Mehta Ka Ooltah Chashmah","23","23.05.12","Taarak Mehta Ka Ooltah Chashmah|तारक मेहता|taarak mehta funny|taarak mehta comedy|taarak mehta comedy scenes|jethalal babita funny|funny taarak mehta videos|jethalal|babita|tmkoc|jetha bhide|taarak episode|tmkoc latest episode|tarak mehta ka ulta chashma|taarak mehta ka ulta chashma|तारक मेहता का उल्टा चश्मा|tarak mehta|जेठालाल|જેઠાલાલ|taarak mehta full episode|taarak mehta new episode|tmkoc full episode|tapu|sab tv channel|taarak mehta latest episode|daya","2303840","0","0","1457","https://i.ytimg.com/vi/1BQtO9my67M/default.jpg","False","True","Click here to Subscribe to Taarak Mehta Ka Ooltah Chashmah Official Channel: https://www.youtube.com/taarakmehtakaooltahchashmah?sub_confirmation=1 Watch the full episodes of Taarak Mehta Ka Ooltah Chashmah: https://www.youtube.com/playlist?list=PLPbh-P_C0BzSKo8X_EiY0WewaBlNt49g3Click here to watch NEW Episode videos: https://www.youtube.com/playlist?list=PLPbh-P_C0BzSxhJ6UCi6tgujD-FsAy0swClick here to watch your favourite videos from Taarak Mehta Ka Ooltah Chashmah: https://www.youtube.com/playlist?list=PLPbh-P_C0BzRYOkpGxKL-6QmvYSL_ZuCuWe bring to you the best videos from your favorite show Taarak Mehta Ka Ooltah Chashmah. So, get your daily dose of laughter with Jethalal, Taarak Mehta, Daya, Champaklal and their neighbors in Gokuldham Society.About Taarak Mehta Ka Ooltah Chashmah:--------------------------------------------------------------------The show is inspired from the famous humorous column 'Duniya Ne Undha Chasma' written by the eminent Gujarati writer Mr. Tarak Mehta. This story revolves around daily happenings in Gokuldham Co-operative Society and covers topical issues which are socially relevant. The show predominantly - revolves around 'Jethalal' who is an uneducated Gujarati businessman. Your 'Taarak Mehta', is his neighbor. 'Jethalal' finds a friend and philosopher in 'Taarak Mehta' and often goes to him for advice whenever he is in trouble. Jethalaal's family includes his simpleton wife 'Daya Ben' and a mischievous son 'Tapu'. Tapu is a menace and a constant source of trouble to all the members of Gokuldham. They have often warned 'Jethalal' to reform 'Tapu' or else be prepared to leave the premises. Lost hopes of being heard by his son push Jethalal' to call his father 'Champaklal' from the village. This was his great idea of leashing some control over the mischievous Tapu. The opposite happens and the grandfather joins hands with the grandson to make life a roller coaster troublesome ride for Jethalal.Cast:---------Dilip Joshi as Jethalal Champaklal GadaDisha Vakani as Daya Jethalal GadaNitish Bhaluni / Raj Anadkat / Bhavya Gandhi as Tipendra Jethalal Gada (Tapu) Amit Bhatt as Champaklal Jayantilal GadaSachin Shroff / Shailesh Lodha as Taarak MehtaSunayana Fozdar / Neha Mehta as Anjali Taarak MehtaTanuj Mahashabde as Krishnan Subramaniam IyerMunmun Dutta as Babita Krishnan IyerMandar Chandwadkar as Aatmaram Tukaram BhideSonalika Joshi as Madhvi Aatmaram BhideNidhi Bhanushali / Palak Sidhwani as Sonalika Aatmaram Bhide (Sonu) Gurucharan Singh/ Balwinder Suri as Roshan Singh Harjeet Singh SodhiJennifer Mistry Bansiwal as Roshan Kaur Roshan Singh SodhiKavi Kumar Azad / Nirmal Soni as Dr. Hansraj Hathi Ambika Ranjankar as Komal Hansraj HathiKush Shah as Gulabkumar Hansraj Hathi (Goli)Shyam Pathak as Popatlal PandeySharad Sankla as AbdulAzhar Shaikh as Pinku Ghanshyam Nayak / Kiran Bhatt as Nattu KakaTanmay Vekaria as BaghaNavina Wadekar / Monika Bhadoriya as BawriProduced By: Neela Asit Modi, Asit Kumarr Modi Special Thanks: Mahesh Vakil, Indu Tarak MehtaSet Design: Jayant DeshmukhOn-Air Promotion  ( SAB): SAB OAPCostume Designer: Alka MehtaCostume Stylist: Ekta BrahmbhattCameraman: Aamir ViraniProduction Head: Arvind MarchandeProduction Controler: Vinod ShishupalBackground Music: Sunil PatniOnline Editors: Vishal Tambe, Sandeep Singh Executive Producer: Jatin Yogesh BajajEditor: Dinesh Gosavi, Kaushal Mistry, Devang Modi, Vinod MauryaCreative Supervision: Krunal KhakhkharOperation Head: Sohil RamaniWritten By: Raju Odedra & Rajen UpadhyayDirectors: Harshad Joshi, Malav Suresh RajdaTelevision Adaptation and Designed By: Asit Kumarr ModiMore Useful Links : * Like us on Facebook : http://www.facebook.com/tmkoc.sabtv* Follow us on Instagram : http://www.instagram.com/taarakmehtakaooltahchashmahnfp * Follow us on Twitter : http://www.twitter.com/tmkoc_ntf* Visit us at : http://www.tmkoc.com#tmkoc #taarakmehta #tmkocsmileofindia"
"ZZwc9xKQSjc","Highlights | West Indies vs England | 1st ODI | Streaming Live on FanCode","2023-12-04T03:28:06Z","UCF10AG_t1AYW3mlmX7g1VJA","FanCode","17","23.05.12","england|cricket|england cricket board|sports|youtube|highlights|odi|trending|youtuber|youtube shorts|windies|west indies|fancode|dream11|t20i|1st odi|shai hope|athanaze|buttler|salt|phillips","2247380","0","0","1367","https://i.ytimg.com/vi/ZZwc9xKQSjc/default.jpg","False","True","West Indies flatten meek England by 4 wickets to clinch the opener. Watch all the action from England's tour of the West Indies, live only on FanCode 👉 https://bit.ly/WIvENG-2023Subscribe to our YouTube channel 👉 https://www.youtube.com/c/fancode/sub.Hit the Bell 🔔 icon to never miss an update.Download the app 👉 http://bit.ly/Download_FancodeFollow us on:👉Facebook: https://www.facebook.com/Fancode/👉Twitter: https://twitter.com/FanCode👉Instagram: https://www.instagram.com/fancode/👉Watch Now: https://www.fancode.com/👉Shop Now: https://fancode.com/shop#StreamingLIVE #WatchLive #cricket #livestreaming #sports #fancode #england #trending #youtube #highlights #westindies #wiveng"
"6xKOsKGfN9o","Today's Headlines | 04 DEC 2023 | Morning Headlines | SathiyamTV | Update news | Headlines","2023-12-04T00:30:24Z","UC2ziCMHFPWkFHjocUMXT__Q","Sathiyam News","25","23.05.12","தலைப்புச் செய்திகள்|Today Headlines in Tamil|tamil News|tamil Live News|Live News|Live News in Tamil|Sathiyam News|Sathiyam Live News|Trending News|Latest Tamil News|Sathiyam TV Live|Live Sathiyam TV|today headlines news in Tamil|today tamil news|sathiyam tv|Mk Stalin|Pm Modi|Petrol Diesel Price|Rainfall|AIADMK|EPS|CSK|CM Stalin|MS Dhoni|NerukkuNer|Rahul gandhi|BJP|Congress|Election Commission|Election|Gold Rate","443757","0","0","85","https://i.ytimg.com/vi/6xKOsKGfN9o/default.jpg","False","True","Today's Headlines | 04 DEC 2023 | Morning Headlines | SathiyamTV | Update news | Headlines#headlines | sathiyamTV #ElectionResult2023 | #AssemblyElectionResult2023 | #AssemblyElection | #ElectionCommission  | #Telangana | #Chhattisgarh | #Manipur | #Rajasthan | #Mizoram | #TNRain | #Rainfall | #CycloneMichaung | #Weather | #Cyclone | #WeatherUpdate | #HeavyRain | #Chennai | #ChennaiRain | #Meteorology | #TNGovt | #CMStalin#Governor | #RajBhavan | #UdhayanidhiStalin | #PMModi | #NarendraModi | #Annamalai |  #IndiaCongress | #Congress | #RahulGandhi | #DMK | #TamilNadu | #ADMK | #BJP | #EPS | #EdapadiPalaniswamy | #OPS | #OPanneerSelvam | #Seeman | #NTK | #NaamTamilarKatchi | #TTVDhinakaran | #GoldRate | #PetrolPrice | #ShareMarket  | #WorldCup2023 | #WC2023 | #EDRaid | #ITRaid | Sathiyam TV News is streaming for 24x7 that tends to bring you all the updates on Latest News and Breaking News happening in and out of Tamil Nadu. #sathiyamnews #sathiyamtv​ #sathiyamnewslive ​ #tamilnews​ #tamilnewslive​ #livenewstamil​​​ #livenews​ #sathiyamlivenews​ #nationalpolitics #nationalnews | #newsupdates | #breakingnews | #trendingnews | #dailyinstantnews | #Trending | #ViralVideos | #Breaking | #Sports | #District | #DistrictNews | #WorldNews | #ExclusiveSubscribe digital Channel - https://www.youtube.com/channel/UCJk8bxxNqSByAXMIcOrLuPg/featuredSubscribe News Channel - https://bit.ly/2YlKFPW To get daily updates of Sathiyam TV in Whatsapp, Click & Join using below link:  https://chat.whatsapp.com/L8Dof5Qzd7iCiJhfvLSz45Android App :https://play.google.com/store/apps/details?id=com.sathiyamtv iOS Apphttps://apps.apple.com/in/app/sathiyam-tv-tamil-news/id1445003340You Can also follow us @Facebook: https://www.fb.com/SathiyamNEWS Twitter: https://twitter.com/SathiyamNEWSWebsite:  https://sathiyam.tvInstagram:  https://www.instagram.com/sathiyamtv/"
