video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"QdBZY2fkU-0","Grand Theft Auto VI Trailer 1","2023-12-04T23:07:10Z","UC6VcWc1rAoWdBCM0JxrRQ3A","Rockstar Games","20","23.05.12","Rockstar Games|Grand Theft Auto VI|GTAVI|GTA 6|GTA Six|Grand Theft Auto|GTA|Vice City|Leonida","56668770","0","0","555912","https://i.ytimg.com/vi/QdBZY2fkU-0/default.jpg","False","True","Song: Love Is A Long RoadArtist: Tom PettyWritten by Thomas Earl Petty and Michael W. CampbellPublished by Universal Music Works on behalf of Wild Gator Music (GMR) and Wixen Music Publishing, Inc. as agent for Gone Gator Music (ASCAP) and NotoriousJBPSongs (ASCAP)Courtesy of Universal Music Enterprises, a Division of UMG Recordings, Inc."
"XUrR5hxfdM8","SKY-HI × Nissy / SUPER IDOL (Prod. MONJOE, SUNNY) -Music Video-","2023-12-04T10:00:13Z","UCsD8N_v4NM0zWMcfsuGsT0Q","SKYHICHANNEL","10","23.05.12","SKY-HI|スカイハイ|すかいはい|日高|ヒダカ|ひだか|日高光啓|HIPHOP|ヒップホップ|RAP|ラップ|MITSUHIRO HIDAKA|THEFIRST|ザファースト|BMSG|BEFIRST|ビーファ|ﾋﾞｰﾌｧ|ビーエムエスジー|びーえむえすじー|BE:FIRST|ツアー|JUST BREATHE|Novel Core|THE DEBUT|ダンク|BOSSDOM|LIVE|ライブ|アリーナツアー|Happy Boss Day|Seaside Bound|Turn Up|Dramatic|MISSION|D.U.N.K|CrownClown|DUNK|Nissy|ニッシー|にっしー|西島隆弘|SUPERIDOL|superidol|ベストアーティスト|AAA|IDOL|アイドル|スーパーアイドル|YOASOBI|恋音と雨空|さよならの前に|トリプルエー|MONJOE|SUNNY|s**t kingz|シットキングス|kazuki|ダンス|ダンスパフォーマンス|dance|bakiost|hanmaost|Sarracenia","591452","0","0","973","https://i.ytimg.com/vi/XUrR5hxfdM8/default.jpg","False","True","SKY-HI × Nissy Digital Single “SUPER IDOL” 2023.12.04 outStreaming & Download：https://SKY-HI.lnk.to/SHxNissy_SUPER_IDOLID▼MusicLyrics : SKY-HI, Takahiro NishijimaMusic : MONJOE, LOAR, SUNNY, SKY-HI, Takahiro NishijimaProduced by MONJOE, SUNNYRecording Engineer : Hideaki Jinbu (prime sound studio form) Mixing Engineer : D.O.I. (Daimonion Recordings)Mastering Engineer : Mike Bozzi (Bernie Grundman Mastering, Hollywood CA)▼Music VideoChoreographer / Performance Director : kazuki (s**t kingz)Dancer : 50 (FIFTY), DAISUKE, KODAI, ATSUSHI, HIBIKI IHA, Leo (Rht.), Takara Amano, SYOGO CHILLLSub Cast : Akihiro Yamamoto, Kate J, Robert B, Neha KDirector : Daiki KamoshitaAssistant Director : Masao SugiuraDirector of Photography : Shuho Teramura1st Camera Assistant : Masanori MiyanoFocus Puller : Shoichi Sano2nd Camera Assistant : Rin Hamamoto3rd Camera Assistant : Kazuhiro Komatsu, Masako OshitaSteadicam Operator : Yasutomo Kevin Yoshida, Genki HidakaKey Grip : Junya Yamamoto (OF)2nd Grip : Masanari Okada, Masataka Watanabe, Kengo FutamuraLighting Director : Gen Kaido1st Lighting Assistant : Chisato Nishimoto2nd Lighting Assistant : Yoshimitsu Nakajima, Kaisei Oikawa, Jialin Ren, Kiyoshi Nishida, Hirokazu Goto, Riki Saitou, Mie Inaba, Shota Moriuchi, Kazuaki  Ishikawa, Kouki Yamamoto, Takeharu Nakashima, Yasuyuki ImaiLight Board Operator : Nami Kawabata (AKARICENTER inc.)Light Board Assistant : Narumi Ogawa (AKARICENTER inc.)Production Designer : Naoyuki Hashimoto (Magenta walL)Production Designer Assistant : Nanami Ozawa (Magenta walL)Prop : Yuki Hirano (Magenta walL)Stage Setting : Shinya Igawa, Atsuko Hamano, Takeshi Kitamura, Mahiro Matsubara, Kouta Kodera, Kazunari Sakata, Soutaro AkaiwaHair & Make-up for SKY-HI : Megumi ShiizuStylist for SKY-HI : Yuji YasutomoHair & Make-up for Nissy : Maki Sato, Tomoyuki Onishi (GROUNDCOVER)Stylist for Nissy : Masato Hishinuma (Deep-End)Trainer : Yuki Kitahara (Major Traienrs,Inc)Stylist for Extra : Yuji MakinoStylist Assistant for Extra : Yuna KaseHair & Make-up for Extra : Hiroyuki Ohmori (VANITES)Hair & Make-up Assistant for Extra : Miyu Takeuchi (VANITES), Yuu Hotta, Tomomi Okubo, Aoi Sato, Satomi Hujita, Nana Ashidachi Colorist : Sota Ito (garakuta)On-line Editor : Azusa Katsumata (garakuta)Mixer : Itsuki Tanitsu (IMAGICA Lab.)Casting : Keisuke Yamada (KM entertainment)Location Support : Yproduction Ibaraki, The Hirosawa City, Akihito Yaguchi, Natsue KobayashiTransport : GraceProducer : Mao Suzuki (P.I.C.S.)Production Manager : Koichi Iwamoto (P.I.C.S.)Production Assistant : Masakuni Tsujimoto (P.I.C.S.), Kazuma Kusawake (P.I.C.S.), Kenta Koide (P.I.C.S.), Risa Tomono, Aoi Sasaki, Hiroki Niikura, Hiroyuki Kishimoto, Kai Kawakubo, Aiko Honma, Shunpei Hitsuda, Harumi Akada, Taisuke Fukuda, Yoko Watanabe, Miyu Okawa, Koki Mugii, Shogo Otake, Hironari Kimura, Takuya KotaniProduction：P.I.C.S.▼SKY-HIBMSG：https://bmsg.tokyo/Official Website：https://skyhi.tokyo/Instagram : https://www.instagram.com/skyhidaka/Twitter：https://twitter.com/SkyHidakaAmeba blog：https://ameblo.jp/sky-hi-blog/Facebook：https://www.facebook.com/skyhi19861212YouTube Channel：https://www.youtube.com/user/SKYHICHANNELSubscription：https://avex.lnk.to/SKY-HI_music▼NissyHP：https://nissy.jp/Twitter：https://twitter.com/NissyStaffInstagram：https://www.instagram.com/nissy_nissystaff/TikTok：https://www.tiktok.com/@nissystaffYoutube：https://www.youtube.com/channel/UCVLN35Ab6UoeKYiIZupgrIwオフィシャルファンクラブ「Nissy Entertainment Park」：https://nissy-enter.com/オフィシャルショップ「Nissy Entertainment Bazaar」：https://nep-bazaar.jp/#SKYHIxNissy #SUPERIDOL #アイドル"
"hD74VUMEWHE","【公式】『ちいかわ』第123話「スーパーアルバイター①」※1週間限定配信＜12/12 (火)AM7:59まで＞","2023-12-04T23:00:22Z","UCrrsHarrLoiLTqu1LHxDJpw","めざましテレビチャンネル","24","23.05.12","ちいかわ|アニメちいかわ|めざましテレビ|フジテレビ|アニメ|新作アニメ|ショートアニメ|すみっこぐらし|モルカー|声優|小澤亜李|井口裕香|杉田智和|東地宏樹|松岡禎丞|内田雄馬|淺井孝行|かわいい|癒し|昼寝|朝|考察|討伐|ねこ|ウサギ|キッズ|子供|ドラえもん|アンパンマン","570006","0","0","2156","https://i.ytimg.com/vi/hD74VUMEWHE/default.jpg","False","True","※この動画は12月12日（火）の7時59分に配信を終了します【放送情報】・フジテレビ系列「めざましテレビ」(5:25～8:00）にて毎週火曜日、金曜日7:40ごろ放送！・放送終了後（8：00～）にYouTube、FOD、TVerで１週間限定見逃し配信【作品紹介】「なんか小さくてかわいいやつ」通称“ちいかわ”たちが送る楽しくて、ちょっぴり切ない物語。時には辛いことで泣いちゃうけれど「ちいかわ」の周りにはやさしい友達や個性豊かなキャラクターがたくさん！イラストレーター・ナガノによる大人気マンガ「ちいかわ」がついにアニメ化！【あらすじ】郎にバイト希望の子が登場！ラーメンの鎧さんを「お師匠」呼び！？【キャスト】・ちいかわ　　　　　　：　青木　遥・ハチワレ　　　　　　：　田中誠人・うさぎ　　　　　　　：　小澤亜李・モモンガ　　　　　　：　井口裕香・ポシェットの鎧さん　：　杉田智和・労働の鎧さん　　　　：　東地宏樹・ラーメンの鎧さん　　：　松岡禎丞・ラッコ　　　　　　　：　内田雄馬・くりまんじゅう　　　：　淺井孝行・シーサー　　　　　　：　島袋美由利 　ほか【スタッフ】原作：ナガノ「ちいかわ」監督：松村樹里亜シリーズディレクター：三原武憲キャラクターデザイン：朝倉夕貴色彩設計：石黒けい、伊藤裕香撮影監督：金子直広（三晃プロダクション）音響監督：土屋雅紀音響効果：白石唯果音楽：トクマルシューゴ編集：茶谷真悟アニメーション制作：動画工房【エンディングテーマ】「ひとりごつ」歌　：ハチワレ（CV.田中誠人）作詞：ナガノ作曲：トクマルシューゴ編曲：トクマルシューゴ【リンク】▼「ちいかわ」公式Twitter（@ngnchiikawa）https://twitter.com/ngnchiikawa▼公式総合情報サイト「ちいかわインフォ」https://chiikawa-info.jp▼公式WEB SHOP「ちいかわマーケット」https://www.chiikawa-market.jp▼「ちいかわ」アニメ公式Twitter（@anime_chiikawa）https://twitter.com/anime_chiikawa▼「ちいかわ」アニメ公式サイトhttps://www.anime-chiikawa.jp(C) ナガノ/ちいかわ製作委員会"
"MMtRxcy8PX0","NMIXX “Soñar (Breaker)” M/V","2023-12-04T09:00:01Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","23.05.12","JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|2ndEP|BREAK|Fe3O4","8660043","0","0","16377","https://i.ytimg.com/vi/MMtRxcy8PX0/default.jpg","False","True","NMIXX “Soñar (Breaker)” M/VPRE-RELEASE DIGITAL SINGLE ‘Soñar (Breaker)’ ➫ 2023.12.04 18:00 (KST)2nd EP ‘Fe3O4: BREAK’ ➫ 2024.01.15 18:00 (KST)NMIXX 2nd EP ‘Fe3O4: BREAK’ Pre-released Digital Single ‘Soñar (Breaker)’ Pre-save ▶ https://nmixx.lnk.to/SonarBreakerNMIXX Official YouTube ▶ https://www.youtube.com/c/NMIXXOfficialNMIXX Official X(Twitter) ▶ https://twitter.com/NMIXX_officialNMIXX Official Instagram ▶ https://www.instagram.com/nmixx_official/NMIXX Official Facebook ▶ https://www.facebook.com/NMIXXOfficial/NMIXX Official TikTok ▶ https://www.tiktok.com/@nmixx_officialNMIXX Official Weibo ▶ https://weibo.com/NMIXXOfficialNMIXX Official Website ▶ https://nmixx.jype.com/NMIXX Official Fan's ▶ https://fans.jype.com/nmixxⓒ 2023 JYP Entertainment. All Rights Reserved#NMIXX #엔믹스#Fe3O4_BREAK#Soñar"
"rM1lJ1SDD4M","【現地実況】 遠藤航がゴールを決めた瞬間、現地アナが一言「アンフィールドの歓声が聞こえますか？」 #遠藤航","2023-12-04T09:11:05Z","UCgn06AH6iI_DOutzukEsPAA","SPOTVNEWS","17","23.05.12","スポーツ|プレミアリーグ|メジャーリーグ","476365","0","0","472","https://i.ytimg.com/vi/rM1lJ1SDD4M/default.jpg","False","True","SPOTV NOWでは、スマートフォン、タブレット、PCで世界のトップスポーツ（プレミアリーグ、セリエA、スコティッシュプレミアシップ、イングランドFAカップ、メジャーリーグ等）のコンテンツを視聴することができます。*SPOTV NOWは有料会員登録していただくことで映像コンテンツをご覧いただけます。*一部無料コンテンツ有 是非一度ご覧ください。SPOTV NEWS：世界のスポーツの最新情報を発信するニュースサイトhttps://spotvnews.jpSPOTV NOW：世界のトップスポーツの映像をライブでお楽しみいただける映像配信サービスhttps://spotvnow.jp#遠藤航  #リヴァプール  #プレミアリーグ"
"ke6993OSZ5s","【遠藤航プレミア初ゴール！リヴァプール vs フラム】試合ハイライト 23/24シーズン プレミアリーグ 第14節","2023-12-03T17:13:54Z","UCJ-l-sMQFHogSy8KXRyMIRA","SPOTVNOW","17","23.05.12","MLB|メジャーリーグ|EPL|プレミアリーグ|SPFL|スコティッシュプレミアシップ|三笘薫|セリエA|エンゼルス|大谷翔平|吉田正尚|冨安健洋|FAカップ|古橋亨梧|サウジリーグ|千賀滉大|鈴木誠也|山本由伸|今永昇太|松井裕樹|上沢直之","1675841","0","0","2598","https://i.ytimg.com/vi/ke6993OSZ5s/default.jpg","False","True","SPOTV NOW（スポティービーナウ）は”世界最高峰のスポーツ”をいつでも観ることができるアプリです！⚽️サッカープレミアリーグ全試合配信はSPOTV NOWだけ!!🔥セリエA、FAカップ、サウジ・プロフェッショナルリーグ、スコティッシュ・プレミアシップも徹底ライブ配信中🎥⚾️野球大谷翔平所属エンゼルス全試合＋日本人選手を中心に毎日1日最大8試合ライブ配信✨無料登録で、試合ハイライト・ダイジェスト・インタビューなどを視聴できます🙌--------------------------------------【公式サイト】https://spotvnow.jp​​​​​​​​​​【twitterアカウント @SPOTVNOW_JP】https://twitter.com/SPOTVNOW_JP【Instagramアカウント】https://www.instagram.com/spotvnow_jp【TikTokアカウント】https://www.tiktok.com/@spotvnow_jp【SPOTV news】https://spotvnews.jp#遠藤航 #リヴァプール #フラム"
"T8dwWhad5tU","#279【再開!!】皆ただいま!!!! の日","2023-12-03T10:00:30Z","UC2alHD2WkakOiTxCxF-uMAg","ジャにのちゃんねる","24","23.05.12","[none]","1902568","0","0","7468","https://i.ytimg.com/vi/T8dwWhad5tU/default.jpg","False","True","皆様、こんばんは♪ジャにのちゃんねるです!!!!先週もお疲れ様でした🙇‍♂️という事で皆様!!戻ってまいりました! ただいまです!!!!とはいえ何もまだ決まっていない事はあるんですけどなんか色々待ってたら今年が終わっちゃいそうなスピード感なので。もう始めます🙇‍♂️という事で、本日の動画もお楽しみください♪#ジャにの #再開 #復活"
"R3Y-CrVZ7iM","リヴァプール遠藤航が自身のプレミア初ゴールを振り返る「得点した後、スタジアムの雰囲気は本当にすごかった」","2023-12-04T08:30:09Z","UCgn06AH6iI_DOutzukEsPAA","SPOTVNEWS","17","23.05.12","スポーツ|プレミアリーグ|メジャーリーグ","310702","0","0","348","https://i.ytimg.com/vi/R3Y-CrVZ7iM/default.jpg","False","True","SPOTV NOWでは、スマートフォン、タブレット、PCで世界のトップスポーツ（プレミアリーグ、セリエA、スコティッシュプレミアシップ、イングランドFAカップ、メジャーリーグ等）のコンテンツを視聴することができます。*SPOTV NOWは有料会員登録していただくことで映像コンテンツをご覧いただけます。*一部無料コンテンツ有 是非一度ご覧ください。SPOTV NEWS：世界のスポーツの最新情報を発信するニュースサイトhttps://spotvnews.jpSPOTV NOW：世界のトップスポーツの映像をライブでお楽しみいただける映像配信サービスhttps://spotvnow.jp#リヴァプール #遠藤航 #プレミアリーグ #spotvnews"
"TYWdqfQNJwE","福山雅治 - 想望（映画『あの花が咲く丘で、君とまた出会えたら。』Inspire Movie）","2023-12-04T12:00:08Z","UCPzNj3UR5Sa8UDNL5j7_rOQ","福山雅治 Official","10","23.05.12","福山雅治|Masaharu Fukuyama|Fukuyama|Masaharu|ふくやま|まさはる|ましゃ|ギター|想望|あの花が咲く丘で|君とまた出会えたら。|そうぼう|福のラジオ|地底人ラジオ|福原遥|水上恒司|出口夏希|伊藤健太郎|嶋﨑斗亜|上川周作|小野塚勇人|あの花","187124","0","0","408","https://i.ytimg.com/vi/TYWdqfQNJwE/default.jpg","False","True","福山雅治「想望」（映画『あの花が咲く丘で、君とまた出会えたら。』主題歌）ダウンロードはこちら：https://masaharufukuyama.lnk.to/soubou▼ダウンロードキャンペーン実施中対象サービス（iTunes/ レコチョク / mora / mu-mo / music.jp / オリコンミュージックストア / Amazon Music）で福山雅治「想望」をダウンロードしていただいた方に特典が当たるキャンペーンを12/10(日)23：59まで実施中！※Amazon Music/iTunesの予約購入キャンペーンにご参加いただいた方は予約購入時の購入画面(購入履歴)のスクリーンショットで応募いただけます。※複数サイトでダウンロードいただいた場合、複数応募いただけますが、ご応募は1応募につき1サイトとさせていただきます。詳しくはこちら：https://fmsp.amob.jp/mob/news/news_show.php?site=F&ima=2819&cd=12425▼リリース情報2023年12月4日(月) 0:00に各配信サイトにてデジタルリリースhttps://masaharufukuyama.lnk.to/soubou福山が実際に本編を観て、登場人物たちに思いを馳せ、映画に寄り添って書き上げた壮大なバラード。「想望」：『慕い仰ぐこと。心に思い描いて待つこと。』という意味をもつ。福山雅治コメント「福原さん水上さんたち二十代の俳優をはじめとする出演者全員が表現する1945年の夏。あの日々に想いを馳せた誠実なお芝居に胸を打たれました。本作は、運命がもたらす喜びと苦しみを教えてくれています。時代という抗えない濁流の中に飲み込まれる一滴の水のように出会った百合と彰の運命。人々の日常を破壊する戦争という行為が、何度も繰り返されてきた時代の果てである現在。その2023年に産み落とされた今作に寄せて「いま、日々を生きていることの幸せ」を歌で描きたいと思いました。毎日帰るべき場所へ帰れることの幸せを。世代や時代を超えて、この映画が多くの人に触れてもらえることを願います。」▼映画『あの花が咲く丘で、君とまた出会えたら。』作品概要現代の女子高生・百合が、1945年の日本にタイムスリップし、特攻隊員の彰に恋をする――SNSを中心に「とにかく泣ける」と話題になった汐見夏衛の小説を、福原遥と水上恒司のダブル主演で実写映画化した『あの花が咲く丘で、君とまた出会えたら。』は12月8日公開。原 作：汐見夏衛『あの花が咲く丘で、君とまた出会えたら。』（スターツ出版文庫）主 演：福原遥、水上恒司出 演：伊藤健太郎、嶋﨑斗亜、上川周作、小野塚勇人、出口夏希坪倉由幸、津田寛治、天寿光希、中嶋朋子／松坂慶子主 題 歌：福山雅治「想望」（アミューズ／Polydor Records)監 督：成田洋一　脚 本：山浦雅大 成田洋一公式サイト：https://movies.shochiku.co.jp/ano-hana-movie/公式twitter：https://twitter.com/ano_hana_movie公式Instagram：https://www.instagram.com/ano_hana_movie/公式TikTok：https://www.tiktok.com/@ano_hana_movie公 開:12月8日（金）©表記：（C）2023「あの花が咲く丘で、君とまた出会えたら。」製作委員会Official Site：https://www.fukuyamamasaharu.comX：https://twitter.com/BROS_1991Instagram：https://www.instagram.com/masaharu_fukuyama_official/?hl=jaFacebook：https://www.facebook.com/fukuyamamasaharu.officialLINE：https://line.me/R/ti/p/@fukuyama_masaharu?from=page&openQrModal=true&searchId=fukuyama_masaharu"
"sBYRVPMC6C8","第106回 【知ると差がつく】学長が選ぶ「お得」「トレンド」お金のニュースBest8【トレンド】","2023-12-03T22:00:18Z","UC67Wr_9pA4I0glIxDt_Cpyw","両学長 リベラルアーツ大学","24","23.05.12","両学長|お金|日本通信|楽天|投信|ファンド|新NISA|積立|改悪|介護保険料|メルカリ|アフィリエイト|延滞|金利|富豪|資産","278447","0","0","174","https://i.ytimg.com/vi/sBYRVPMC6C8/default.jpg","False","True","▼オンラインコミュニティ『リベシティ』https://site.libecity.com/join✓会員の「収入」と「資産」を増やす、日本最大規模のお金のコミュニティ✓登録無料、初月会費無料、退会時違約金一切なし✓限定特典多数（シティ内限定ライブ、シティ内限定コラム、インフルエンサーへの家計や投資相談、リアルのコワーキングスペース利用、お仕事マッチングサービスの利用など）---------------------------------------00:00 intro00:15 今日の話題：【知ると差がつく】学長が選ぶ「お得」「トレンド」お金のニュースBest801:09 └①日本通信、5分かけ放題込みで2,178円の「合理的30GBプラン」03:04 └②楽天投信投資顧問のファンド手数料、単独で業界最低に08:22 └③11月13日（月）より、2024年1月分の新NISA対応の積立設定の受付を開始いたしました！11:27 └④「楽天改悪」トレンド入り 楽天市場がポイントプログラムを大幅改定した理由、同社に聞いた14:52 └⑤高齢者の介護保険料、引き上げ検討 所得410万円以上案17:54 └⑥メルカリ、リンク経由の購入に報酬 初のアフィリエイト20:00 └⑦米国のカード延滞率、12年ぶり高水準 金利高が消費に影22:04 └⑧米で「プチ富豪」急増、世帯平均資産1.5億円超え24:50 まとめ：2023年11月のお金のニュースを振り返ろうについて解説しています。---------------------------------------◆個別ケースの税務相談や顧問契約も対応可能【リベ大税理士法人】https://site.libecity.com/content/libe-tax◆お金で失敗しない家造り【リベ大工務店】https://libe-home.com/◆お部屋を借りるなら【リベ大不動産】https://libe-estate.com/◆安心＆スマートな引越し【リベ大引越センター】https://libe-moving.com/◆交流も楽しめるレストラン【リベ大レストラン】https://libe-restaurant-osaka.com/★リベ大が本になりました！Amazonhttps://amzn.to/2VztyaF楽天https://books.rakuten.co.jp/rb/16310040/---------------------------------------【関連資料】「日本通信、5分かけ放題込みで2,178円の「合理的30GBプラン」」（+Digital）https://news.mynavi.jp/article/20231110-2815301/「企業情報」（日本通信株式会社）https://www.j-com.co.jp/corp/「楽天投信投資顧問のファンド手数料、単独で業界最低に」（日本経済新聞）https://www.nikkei.com/article/DGXZQOUB06B3J0W3A101C2000000/「当社取扱いインデックスファンドのなかで最安＆残高ポイントプログラム」（楽天証券）https://www.rakuten-sec.co.jp/web/info/info20231027-06.html「11月13日（月）より、2024年1月分の新NISA対応の積立設定の受付を開始いたしました！」（楽天証券）https://www.rakuten-sec.co.jp/web/info/info20230929-01.html「「楽天改悪」トレンド入り　楽天市場がポイントプログラムを大幅改定した理由、同社に聞いた」（ITmedia NEWS）https://www.itmedia.co.jp/news/articles/2311/01/news180.html「高齢者の介護保険料、引き上げ検討　所得410万円以上案」（日本経済新聞）https://www.nikkei.com/article/DGXZQOUA02CGC0S3A101C2000000/「メルカリ、リンク経由の購入に報酬　初のアフィリエイト」（日本経済新聞）https://www.nikkei.com/article/DGXZQOUC017KY0R01C23A1000000/「米国のカード延滞率、12年ぶり高水準　金利高が消費に影」（日本経済新聞）https://www.nikkei.com/article/DGXZQOGN07DEG0X01C23A1000000/「米で「プチ富豪」急増、世帯平均資産1.5億円超え」（The Wall Street Journal）https://jp.wsj.com/articles/never-mind-the-1-mini-millionaires-are-where-wealth-is-growing-fastest-cdf4962a「イチローの｢28年間｣が変えた日本人の野球観」（東洋経済オンライン）https://toyokeizai.net/articles/-/273241【関連動画】【990円で7GB！】最もコスパの良い格安SIM3選【2023年4月最新版】【貯める編】：（アニメ動画）第335回https://youtu.be/niWkxeduPL0 第235回 【歴史が変わる】新NISAのココがスゴイ5選【株式投資編】https://youtu.be/mEQDotS9Bp8----------------------------------------▼動画資料作成ツール「MindMeister（マインドマイスター）」https://www.mindmeister.com/?r=571381----------------------------------------▼リベ大おすすめサービス一覧https://liberaluni.com/recommended-services▼リベ大おすすめ書籍一覧https://liberaluni.com/recommended-books----------------------------------------◆twitterhttps://twitter.com/freelife_blog◆インスタグラムhttp://instagram.com/freelife_blog◆両学長LINE公式アカウントhttps://lin.ee/gsTRDUv◆公式ブログhttps://liberaluni.com/----------------------------------------～まずはこのリストの動画からチェック～お金の勉強初級編-初めての方はここから-https://www.youtube.com/playlist?list=PLpwLNivKud-jSHTx8hArrxyUqmLgm1opb----------------------------------------～お金持ちになるために必要な5つの力～【貯める】-支出を減らす力を育てようhttps://www.youtube.com/playlist?list=PLpwLNivKud-jfHYqAOGhKM-pzIQh2fSdA【稼ぐ】-収入を増やす力を育てよう-https://www.youtube.com/playlist?list=PLpwLNivKud-in1wtIJTbVgDvrFDNJFwpo【増やす】-資産を増やす力を育てよう-https://www.youtube.com/playlist?list=PLpwLNivKud-iOTvsdRXy1hcbQSeAKxUuU【守る】-資産を減らさない力を育てよう-https://www.youtube.com/playlist?list=PLpwLNivKud-j7u8WKXmo-h0FsJ4IY3HBt【使う】-満足感が高まることにお金を使う力を育てよう-https://www.youtube.com/playlist?list=PLpwLNivKud-gITrm7Fsil7odutlOjXLIH----------------------------------------◆学長プロフィール・高校生の時に起業し、起業歴20年以上。・現在は経済的自由を達成し、友人向けにYouTube・SNSで「お金の知識」を発信スタート。▼詳しくは学長プロフィールの関連動画をご覧ください【人生のゴール】学長の言う「お金がいらない」の意味を解説しますhttps://youtu.be/-TVOR5G_P3410年以上『金のなる木』を買い続けた結果【なぜか皆やらない】https://youtu.be/Mr_ykmzIdVA【一番大切なものはどれ？】お金・スキル・道徳・愛　なにか一つ足りない社長の話https://youtu.be/lkmC8WgWZYI学長が学生時代に稼いだ方法https://youtu.be/FkQ9Xh2w2WY▼学長へのご意見・ご質問はこちらからhttps://forms.gle/LcZ4cJGb9ii3VaWL6※Amazonのアソシエイトとして、両学長 リベラルアーツ大学は適格販売により収入を得ています。----------------------------------------#両学長#リベ大#リベラルアーツ大学#お金#お金のニュース"
