video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"GtBnj3Z3eO4","So werden wir von der Politik ver*rscht","2024-02-18T17:00:12Z","UCyHDQ5C6z1NDmJ4g6SerW8g","maiLab","28","24.20.02","Mai Thi Nguyen-Kim|Mai Thi|Nguyen-Kim|Mai|maiLab|Partei|Politik|Politikerin|Wechsel|Start|Populismus|Demokratie|Rechtspopulismus|ZDF|Terra X|MAITHINK X|Die kleinste gemeinsame Wirklichkeit|neue Partei|Bundestag|Wahl|Scheinargumente|Strohmann|Falsches Dilemma|Falsche Dichotomie|Schweigende Mehrheit|ad hominem|Whataboutism|Motte Bailey|Motte and Bailey|motte|bailey|Stunt|Experiment|Sozialexperiment|Wissenschaft|Journalismus","1239976","10661","False"
"iLmPgf-K2qs","Unser Dönerladen zieht um!","2024-02-19T18:04:10Z","UCxdaFKaMlRHtVkBeGygsYTw","Papaplatte Gaming","20","24.20.02","papaplatte gaming|papaplatte games|papaplatte lets play|papalatte gaming|gaming channel papaplatte|gaming papaplatte|lets play|gaming deutsch|twitch highlights|twitch gaming|twitch games|livestreamer","342977","474","False"
"56OcsllkxJA","Wie sich YouTube aus unserer Sicht verändert hat - GEHEIMRATSECK #1","2024-02-19T17:00:05Z","UCteQpf6yTjjGyQduBuE7mqg","Geheimratseck","24","24.20.02","Inscope21|unsympatischtv|geheimratseck|geheimratsecken|podcast|sascha hellinger|nicolas lazaridis|videopodcast|nico sascha podcast|comedy","130331","554","False"
"J-txIOA76pg","VfL Bochum – FC Bayern München | Bundesliga, 22. Spieltag Saison 2023/24 | sportstudio","2024-02-18T23:00:08Z","UClCIWcZNvq15p0Y-E4ToGOw","sportstudio fußball","17","24.20.02","Fußball|Fussball|DFB|Bundesliga|Buli|Bundesliga Highlights|Bundesliga Zusammenfassung|VfL Bochum|FC Bayern München|VfL Bochum FC Bayern München|VfL Bochum Highlights|FC Bayern München Highlights|VfL Bochum FC Bayern München Highlights|VfL Bochum FC Bayern München Zusammenfassung|Kane|Müller|Schlotterbeck|Asano|Stöger|Musiala|Krise|FCB|ZDF|sportstudio|Bayern Niederlage|Thomas Tuchel|Tuchel weg|Tuchel raus|Kimmich|Kimmich Streit","1522486","2550","False"
"d5ILUmzJ2vA","WIE GUT IST UNSERE 2. MANNSCHAFT?👀🤔 ICH SPIELE BEI DELAY SPORTS 2 MIT!⚽🔥 Highlights + VLOG 226","2024-02-19T14:50:22Z","UCZT5lsEOYARvyvmrtJ4WAwA","SidneyEweka","20","24.20.02","sidneyeweka|sidney|eweka|sidney eweka|sidneyfriede|sidney friede|fifa 21|sidney eliasn97|sidney elias|sidney fifa 21|sidney younited|younited fifa 21|sidney vlog|sidney reaction|ELIGELLA|ELIASN97|ELI|eligella|eliasn97|eli|willy|niklas wilson|niklas sommer|999sid|999 sid|elias n 97|eli gella|elias n97|hertha|hertha bsc|berlin|vlog|vlogs|fifa 22|FIFA22|FIFA 22|fokus|FOKUS","168707","426","False"
"jAHJwVo9XXk","FINALE❗BRING IN THE MONEY  | RAP LA RUE | KAPITEL (2/8) ❗","2024-02-18T17:00:05Z","UCPPVblA5BY61NOsZmrV4ODg","DelarueTV","20","24.20.02","twitch|sami|delarue|tv|rap|frankfurt|delaruetv|modouzi|stream|highlights|monte|rohat|abu|goku|fortnite|game|valorent|amar|reaction|reagiert|amate|musik|akhi|side|nafrica|album|song|interview|valo|Raplarue|Icon|azu|kauta|aymen|Avie|bona|Hamed|amo|shabab|larue|icon6|bewerbung|finale|villa|dlr|rlr|tiktok|reaktion|bzet|haaland|jiyo|brel|nuhat|monny|final|marokko|maroc|tunier|kapitel","249119","2788","False"
"w79aOJsjRS4","Für Rentner wichtig: Fünf Änderungen im März 2024","2024-02-18T16:00:14Z","UCJEFIodDXA3hF7DyQFvd6zg","rentenbescheid24.de","25","24.20.02","rentenbescheid24.de|Rentenberater im Internet|gesetzliche Rente|unabhängige Rentenberater|Rentenberatung im Internet|Rentenberatung einfach buchen","440524","156","False"
"T2VIEhDLWaM","Für Tuchel schwer noch an die Meisterschaft zur glauben| Interview nach der Niederlage gegen Bochum","2024-02-18T20:03:09Z","UC-xsrwf4kG4b_SZDiKIhZqw","DAZN_DE","24","24.20.02","DAZN|DAZN DE|#tuchel|#bochum bayern|bayern|fc bayern|interview nach Bochum|Interview bayern|interview tuchel|Thomas tuchel|Bochum gegen bayern|interview","326428","898","False"
"Tyw2iIr9AwQ","Turkish Hairlines","2024-02-18T17:01:32Z","UCMlYZ3__1iLMFxfeqyTcHQw","InscopeLifestyle","24","24.20.02","inscopelifestyle|inscope21|inscope lifestyle|tim gabel|nico|haare|haartransplantation|türkei|instanbul|haar transplantation|haar|volles haar|haare auffüllen|haar transplantation erfahrung|haartransplantation erfahrung","325890","715","False"
"9GvBcTbfyk8","ICH WURDE SCHON WIEDER GEPACKT...","2024-02-19T12:00:05Z","UCrKradtnl9SpZM3fJzjCTKA","Rohat","19","24.20.02","Rohat|xRohat|Twitch|Clips|Highlights|YouTube|Content|Prime|gta|gta rp|rp|gta rp highlights|new gta rp|montana|gameplay|gaming|rohat rp|rohat gta rp|gta rp rohat|rohat gta highlights|gta rp highlights rohat|big sosa|big sossa|bigsosa|bigsossa","126286","149","False"
"WxNm3o8WXWg","Tafel statt Supermarkt - trotzdem zu teuer? | Doku | exactly","2024-02-19T16:00:30Z","UCZOM0CqaJ5njZB_O-RyQSsw","MDR Investigativ","25","24.20.02","Tafeln|Essen|Lebensmittel|teuer|Inflation|Verpflegung|Supermarkt","79137","768","False"
"GkyykJVJoYw","Krise immer schlimmer: Nächstes Debakel für den FC Bayern | Reif ist Live","2024-02-19T10:32:38Z","UCu1FJLH2dp7dwKoCCGFkaMg","SPORT BILD","17","24.20.02","bild|bild sport|sport bild|bild fußball|bundesliga|reif ist live|reif ist live heute|reif ist live aktuell|matthias brügelmann|marcel reif|fc bayern|vfl bochum|bochum bayern|vfl bochum fc bayern|thomas tuchel|thomas tuchel kritik|fc bayern krise|krise|bayer leverkusen|xabi alonso|dfl|proteste|spielunterbrechung|bundesliga highlights|thomas tuchel interview|rudi völler|deniz aytekin|ultras|fans","165986","465","False"
"bNKXxwOQYB8","LE SSERAFIM (르세라핌) 'EASY' OFFICIAL MV","2024-02-19T08:58:08Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","24.20.02","HYBE|HYBE LABELS|하이브|하이브레이블즈","17400244","25476","False"
"XAgZTSLnvrQ","Influencer dreht frauenfeindliche „Filmchen“ | 3 gescheiterte Projekte","2024-02-18T17:03:00Z","UCh24_9600fCJemez4RgoOmw","Marvin","24","24.20.02","marvin|marvin wildhage|marvin influencer|hydro hype|a hole|marvin doktortitel","284793","260","False"
"CxpUiuI9O4s","Der bittere Niedergang des CargoLifters","2024-02-18T11:00:08Z","UCKGMHVipEvuZudhHD05FOYA","Simplicissimus","24","24.20.02","Simplicissimus|2 Bored Guys","419836","952","False"
"ATh7g1sgE2E","Trennung von Tuchel beschlossen - Nachfolger gefunden! FC Bayern München","2024-02-18T10:32:26Z","UCkTkUNhu87b0U5eGqzXO3yg","Matze Knop","17","24.20.02","Matze Knop|Borussia Dortmund|FC Bayern München|Matze|Comedy|Thomas Tuchel|José Mourinho|Rekordmeister|Bundesliga|Champions League","1192997","230","False"
"jhMP8RSv4ws","Final-Auftritt von Alexander Doghmani 🎙 | Das Supertalent 2024","2024-02-17T21:40:00Z","UCvbR8mrSZ1BXf2LNnp-lGpw","Das Supertalent","24","24.20.02","Supertalent|Das Supertalent|Deutschland|RTL|Bruce Darnell|Dieter Bohlen|Super Talent|Daniel Hartwich|TV|Television|Fernsehen|Casting|Modern Talking|Germany's Got Talent|Got Talent|Germany|Talent|Lola Weipert|Ehrlich Brothers|Riccardo Simonetti|Yvonne Catterfeld|Kaya Yanar|Lukas Podolski|Sophia Thomalla|RTL+|RTL +|RTL Plus|RTLPlus|rtlplus.com|RTL Nau|Jens Knossalla|Knossi|Anna Ermakova|Victoria Swarovski|Ekaterina Leonova|Das Supertalent 2023","871472","483","False"
