video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"bNKXxwOQYB8","LE SSERAFIM (르세라핌) 'EASY' OFFICIAL MV","2024-02-19T08:58:08Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","24.20.02","HYBE|HYBE LABELS|하이브|하이브레이블즈","17400244","25476","False"
"8Ou7w3Sxk5E","A YouTuber Made the Most Insane Animated Movie Ever","2024-02-18T19:03:11Z","UC7zsxKqd5MicTf4VhS9Y74g","Kurtis Conner","23","24.20.02","kurtis conner|kurtis connor|our drawings","1555232","7210","False"
"IbAWb-NmFHs","RANKED Meme Olympics","2024-02-19T01:19:25Z","UCw1SQ6QRRtfAhrN_cjkrOgA","LazarBeam","20","24.20.02","[none]","2322302","2352","False"
"35lvzLfrTLA","100 Hours At The World's Worst Amusement Park!","2024-02-18T21:33:28Z","UCPpATKqmMV-CNRNWYaDUwiA","Alexa Rivera","24","24.20.02","[none]","1205093","2428","False"
"zkld1uJdlKI","10 NEW Costco Deals You NEED To Buy in February 2024","2024-02-18T19:02:33Z","UC5Qbo0AR3CwpmEq751BIy0g","The Deal Guy","28","24.20.02","the deal guy|costco|costco store|costco secrets|costco haul|costco shopping|costco shop with me|flavcity|costco tips|costco shopping secrets|costco canada|costco australia|costco deals|costco 2024|2024 costco|what to buy at costco|10 things you should buy at costco|Things You Should ALWAYS Buy at Costco|best things costco|costco shopping 2024|new at costco|costco december 2024|costco december|december costco|december costco 2024|shopping|new costco","885272","833","False"
"ilvh7PShS9c","My Daughter Survives WORLD'S STRICTEST PARENTS","2024-02-17T15:00:07Z","UCKaCalz5N5ienIbfPzEbYuA","Jordan Matter","24","24.20.02","jordan matter|challenge|Salish matter|say say matter|nalish|rebecca zamolo|elliana walmsley|dance moms|matt slays|zadie zamolo|jentzen|dating|makeup|sephora|strict|spoiled|mall|goats|Matter Cup","7163393","12464","False"
"xFu95Y8ZFTI","Guy Bought A Barn And Finds Out It Comes With A Stray Cat | The Dodo","2024-02-18T18:00:32Z","UCINb0wqPz-A0dV9nARjJlOQ","The Dodo","15","24.20.02","animal video|animals|the dodo|Animal Rescue|dodo|cute animals|pets|wildlife|pet videos|wildlife videos|animals the dodo|the dodo animals|rescuing animals","3445348","1342","False"
"p_RaeZZKhs8","Film Theory: FNAF, I Know How the Movie Trilogy Ends!","2024-02-18T18:05:00Z","UC3sznuotAs2ohg_U__Jzj_Q","The Film Theorists","1","24.20.02","fnaf|five nights at freddy’s|five nights at freddys|vanessa|vanny|fnaf vanessa|fnaf movie trailer|fnaf movie review|fnaf movie|fnaf trailer|fnaf lore|fnaf theory|fnaf timeline|five nights at freddys song|security breach|fnaf security breach|fnaf ruin|five nights at freddys ruin|ruin lore|fnaf ruin theory|steel wool|josh hutcherson|film theory|film theorists|matpat|game theory|matpat fnaf|matpat fnaf movie|movie|movies|new movies|fnaf movie 2","1603253","5335","False"
"JaOiKl6Yehc","Stephen Curry Puts on a Show at 2024 NBA All-Star Game","2024-02-19T04:03:41Z","UCeYc_OjHs3QNxIjti2whKzg","Golden State Warriors","17","24.20.02","Golden State Warriors|Golden State|Warriors|GSW|Dubs|DubNation|Dub Nation","422400","268","False"
"0xFj7UQqDH8","Israel Adesanya Reacts to Ilia Topuria's SHOCKING Knock Out of Alex Volkanovski at UFC 298","2024-02-18T23:27:15Z","UC1oigGPZ4A6atKCnj17ow8Q","FREESTYLEBENDER","17","24.20.02","ilia topuria|ufc 298|alexander volkanovski|ufc 300|ian garry|paulo costa|conor mcgregor|alexander volkanovski vs ilia topuria|alex volkanovski|mma news|robert whittaker|dana white|ufc 298 reaction|henry cejudo|merab dvalishvili|mixed martial arts|alexander volkanovski vs ilia topuria reaction|ian garry vs geoff neal|ufc reaction|espn ufc|joe rogan|ilia topuria highlights|israel adesanya|stylebender|ufc 298 highlights|ufc 298 full fight","840907","2481","False"
