video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"AwBlRsIHtSQ","Stephen Curry vs. Sabrina Ionescu Full 3-Point Challenge | 2024 NBA All-Star Weekend","2024-02-18T03:18:05Z","UC9-OpMMVoNP5o10_Iyq7Ndw","Bleacher Report","17","24.18.02","bleacher report|br|nba|stephen curry|sabrina ionescu|steph curry|sabrina|ionescu|steph|steph curry vs sabrina ionescu|steph curry vs sabrina 3 point contest","378261","2164","False"
"ilvh7PShS9c","My Daughter Survives WORLD'S STRICTEST PARENTS","2024-02-17T15:00:07Z","UCKaCalz5N5ienIbfPzEbYuA","Jordan Matter","24","24.18.02","jordan matter|challenge|Salish matter|say say matter|nalish|rebecca zamolo|elliana walmsley|dance moms|matt slays|zadie zamolo|jentzen|dating|makeup|sephora|strict|spoiled|mall|goats|Matter Cup","4876241","11073","False"
"W0iQguIT_yE","MASSIVE ANNOUNCEMENT!","2024-02-17T17:13:43Z","UC4-79UOlP48-QNGgCko5p2g","MrBeast 2","22","24.18.02","[none]","3390103","10505","False"
"KfOAmFQOMsM","UFC 298: Post-Fight Press Conference","2024-02-18T08:24:31Z","UCvgfXK4nTYKudb0rFR6noLA","UFC","17","24.18.02","ufc|mma|ultimate fighting championship|press conference|ufc 298|volkanovski vs topuria|alexander volkanovski|ilia topuria|dana white","867852","1563","False"
"tKbObjo_68A","The FULL 2024 NBA #ATTSlamDunk Contest! 👀 | 2024 #NBAAllStar","2024-02-18T04:11:04Z","UCWJ2lWNubArHWmf3FIHbfcQ","NBA","17","24.18.02","Basketball|G League|NBA","2336921","4702","False"
"ggWZoH9PeIU","Camping in Alaska's Deepest Snow with a Dugout Survival Shelter","2024-02-17T12:00:27Z","UCfpCQ89W9wjkHc8J_6eTbBg","Outdoor Boys","24","24.18.02","survival shelter|dugout|dugout shelter|dugout shelter winter|winter survival shelter|camping|solo camping|solo winter camping|survival camping|Survival|wilderness survival|snow cave camping|snow cave|quinzee|igloo|winter shelter|camping in snow storm|camping in blizzard|camping in snow|snow camping|cold weather camping|extreme survival camping|bushcraft|bushcraft camping|camping in dugout|dugout shelter build|building survival shelter|Alaska|Deep snow","2673129","0","True"
"EvrZoRRiP30","A Special Day I Will Never Forget..","2024-02-17T16:05:31Z","UCja7QUMRG9AD8X2F_vXFb9A","The Royalty Family","22","24.18.02","The Royalty Family|Royalty Family|Andrea Espada|Family Friendly|Royalty|Royal Family|The Royal Family|Royalty Fam|The Royalty Fam|Realty Family|Roti Family|Family Vlog|royalty family|royalty|royal|royalty fam|Ali andrea|Andrea ali|royalty gaming|royalty family baby|royalty baby|challenge|Jordan matter|Rebecca zamolo|Dhar maan|ferran|emotional|eating|the Cutest Valentines day surprise|surprise|valentines|cute surprise|ferran surprise","1828105","3440","False"
"6xWXRk3yaSw","This is the Worst Car I've Ever Reviewed","2024-02-17T23:45:42Z","UC2J-0g_nxlwcD9JBK1eTleQ","Auto Focus","22","24.18.02","Fisker Ocean|Fisker|Ocean|Fisker car|electric car|worst electric car|MKBHD|Auto Focus","814621","3033","False"
"PLUhJmqHd1s","skibidi toilet 70 (full episode)","2024-02-18T00:00:14Z","UCsSsgPaZ2GSmO6il8Cb5iGA","DaFuq!?Boom!","24","24.18.02","sfm animation|skibidi toilet vs cameramen|skibidi toilet|scientist skibidi|tv woman|titan cameraman|titan speakerman|skibidi toilet all episodes|titan tv man","11851217","23497","False"
"VqpQo5B21Wk","I Melted Every Gum Brand & Flavor Into One Piece","2024-02-17T22:08:23Z","UC3wc2MERkKAqNEtaiQslC-A","Hangtime","24","24.18.02","[none]","357216","1642","False"
