,weight,source,destination
0,32,Fussball,DFB
1,29,Fußball,DFB
2,25,RTL+,RTL Plus
3,25,RTL,Lukas Podolski
4,25,RTL,RTL+
5,25,RTL,RTL +
6,25,RTL,RTL Plus
7,25,RTL+,RTL +
8,24,Soccer,DFB
9,24,Football,DFB
10,22,Fussball,Deutschland
11,22,Fußball,Bundesliga
12,20,papaplatte highlights,papaplatte best of stream
13,20,papaplatte highlights,papaplatte realtalk
14,20,papaplatte best of stream,papaplatte realtalk
15,20,Fussball,Soccer
16,20,Fussball,Football
17,20,Fußball,Highlights
18,20,Soccer,Deutschland
19,20,Football,Deutschland
20,19,Fußball,Soccer
21,19,Fußball,Football
22,19,Fußball,Nationalmannschaft
23,19,Soccer,Nationalmannschaft
24,19,Football,Nationalmannschaft
25,18,Sport,Highlights
26,17,Fussball,Bundesliga
27,16,Champions League,UEFA Champions League
28,15,RTL,TVNOW
29,15,RTL,RTLplus
30,15,Race Day,Bundestrainer
31,15,RTL,NITRO
32,15,FIFA,Pokal
33,15,RTL,Conference League
34,15,Das deutsche Finale,Eurovision Song Contest
35,15,RTL,Europa League
36,15,ESC,ESC 2024
37,15,RTL,Pokal
38,15,ESC,Eurovision Song Contest
39,15,RTL,Qualifikation
40,15,ESC 2024,Eurovision
41,15,RTL,Anna Kraft
42,15,ESC 2024,Vorentscheid
43,15,RTL,Laura Papendick
44,15,Eurovision,Vorentscheid
45,15,RTL,Thomas Wagner
46,15,Eurovision Song Contest,Vorentscheid
47,15,RTL,Matchday
48,15,papaplatte,papaplatte clips
49,15,RTL,DAZN
50,15,FIFA,Tore
51,15,RTL,Prime
52,15,FIFA,Highlights
53,15,RTL,Nations
54,15,FIFA,1. FC Union Berlin
55,15,RTL,Nationalelf
56,15,FIFA,SC Freiburg
57,15,RTL,Deutschland
58,15,FIFA,1. FC Köln
59,15,RTL,Nationalmannschaft
60,15,FIFA,UEFA Europa League
61,15,RTL,Hansi Flick
62,15,FIFA,UEL
63,15,RTL,Flick
64,15,FIFA,UECL
65,15,RTL,Kader
66,15,FIFA,UEFA Europa Conference League
67,15,RTL,Bundestrainer
68,15,Fussball,Fußball
69,15,RTL,DFB
70,15,papaplatte highlights,papaplatte musik
71,15,RTL,DFB-Elf
72,15,papaplatte highlights,papaplatte freundin
73,15,RTL,Tore
74,15,papaplatte best of stream,papaplatte gaming
75,15,RTL,Highlights
76,15,papaplatte best of stream,Twitch
77,15,RTL,1. FC Union Berlin
78,15,papaplatte best of stream,papaplatte rap
79,15,RTL,SC Freiburg
80,15,papaplatte donation,papaplatte gaming
81,15,RTL,1. FC Köln
82,15,papaplatte donation,papaplatte bastighg
83,15,RTL,UEFA Europa League
84,15,papaplatte donation,papaplatte musik
85,15,RTL,UEL
86,15,papaplatte donation,papaplatte freundin
87,15,RTL,UECL
88,15,papaplatte gaming,papaplatte bastighg
89,15,RTL,UEFA Europa Conference League
90,15,papaplatte gaming,papaplatte musik
91,15,TVNOW,RTL+
92,15,papaplatte gaming,papaplatte freundin
93,15,TVNOW,RTLplus
94,15,papaplatte realtalk,Twitch
95,15,TVNOW,RTL Plus
96,15,papaplatte realtalk,papaplatte rap
97,15,TVNOW,NITRO
98,15,papaplatte bastighg,Twitch
99,15,TVNOW,Conference League
100,15,papaplatte bastighg,papaplatte rap
101,15,TVNOW,Europa League
102,15,Twitch,papaplatte musik
103,15,TVNOW,Pokal
104,15,Twitch,papaplatte freundin
105,15,TVNOW,Qualifikation
106,15,papaplatte musik,papaplatte freundin
107,15,TVNOW,Anna Kraft
108,15,TVNOW,Laura Papendick
109,15,TVNOW,Thomas Wagner
110,15,UEFA,RTL Sport
111,15,TVNOW,Matchday
112,15,UEFA,Fussball
113,15,TVNOW,RTL +
114,15,UEFA,Soccer
115,15,TVNOW,DAZN
116,15,UEFA,Formel 1
117,15,TVNOW,Prime
118,15,UEFA,RTL
119,15,TVNOW,Lukas Podolski
120,15,UEFA,RTL+
121,15,TVNOW,Nations
122,15,UEFA,RTL Plus
123,15,TVNOW,Nationalelf
124,15,UEFA,Conference League
125,15,TVNOW,Deutschland
126,15,UEFA,Pokal
127,15,TVNOW,Nationalmannschaft
128,15,UEFA,Anna Kraft
129,15,TVNOW,Hansi Flick
130,15,UEFA,Thomas Wagner
131,15,TVNOW,Flick
132,15,UEFA,RTL +
133,15,TVNOW,Kader
134,15,UEFA,Prime
135,15,TVNOW,Bundestrainer
136,15,UEFA,Nations
137,15,TVNOW,DFB
138,15,UEFA,Deutschland
139,15,TVNOW,DFB-Elf
140,15,UEFA,Hansi Flick
141,15,TVNOW,Tore
142,15,UEFA,Kader
143,15,TVNOW,Highlights
144,15,UEFA,DFB
145,15,TVNOW,1. FC Union Berlin
146,15,UEFA,Tore
147,15,TVNOW,SC Freiburg
148,15,UEFA,1. FC Union Berlin
149,15,TVNOW,1. FC Köln
150,15,UEFA,1. FC Köln
151,15,TVNOW,UEFA Europa League
152,15,UEFA,UEL
153,15,TVNOW,UEL
154,15,UEFA,UEFA Europa Conference League
155,15,TVNOW,UECL
156,15,Sport,FIFA
